SalesOrderNumber,OrderDate,ProductKey,ResellerKey,EmployeeKey,SalesTerritoryKey,Quantity,Unit Price,Sales,Cost
SO43897,2017-08-25,235,312,282,4,2,28.84,57.68,63.45
SO43897,2017-08-25,351,312,282,4,2,2024.99,4049.98,3796.19
SO43897,2017-08-25,348,312,282,4,2,2024.99,4049.98,3796.19
SO43897,2017-08-25,232,312,282,4,2,28.84,57.68,63.45
SO44544,2017-11-18,292,312,282,4,2,818.70,1637.40,1413.62
SO44544,2017-11-18,220,312,282,4,2,20.19,40.38,24.06
SO44544,2017-11-18,351,312,282,4,2,2024.99,4049.98,3796.19
SO44544,2017-11-18,349,312,282,4,2,2024.99,4049.98,3796.19
SO44544,2017-11-18,344,312,282,4,2,2039.99,4079.98,3824.31
SO45321,2018-02-18,346,312,282,4,2,2039.99,4079.98,3824.31
SO45321,2018-02-18,347,312,282,4,2,2039.99,4079.98,3824.31
SO46082,2018-05-23,220,312,282,4,2,20.19,40.38,24.06
SO46082,2018-05-23,346,312,282,4,2,2039.99,4079.98,3824.31
SO46082,2018-05-23,345,312,282,4,2,2039.99,4079.98,3824.31
SO46082,2018-05-23,232,312,282,4,2,28.84,57.68,63.45
SO46082,2018-05-23,344,312,282,4,2,2039.99,4079.98,3824.31
SO46082,2018-05-23,348,312,282,4,2,2024.99,4049.98,3796.19
SO46082,2018-05-23,212,312,282,4,2,20.19,40.38,24.06
SO47028,2018-08-24,410,312,282,4,2,36.45,72.90,53.94
SO47028,2018-08-24,464,312,282,4,2,14.13,28.26,19.43
SO47028,2018-08-24,412,312,282,4,2,180.13,360.26,266.59
SO47028,2018-08-24,420,312,282,4,2,141.62,283.24,209.59
SO47028,2018-08-24,468,312,282,4,2,22.79,45.58,31.34
SO47028,2018-08-24,360,312,282,4,2,1229.46,2458.92,2211.62
SO47028,2018-08-24,409,312,282,4,2,209.26,418.52,371.64
SO47028,2018-08-24,308,312,282,4,2,744.27,1488.54,1321.83
SO47028,2018-08-24,428,312,282,4,2,209.26,418.52,371.64
SO48049,2018-11-19,401,312,282,4,2,65.60,131.20,97.09
SO48049,2018-11-19,224,312,282,4,2,5.19,10.38,10.46
SO48049,2018-11-19,412,312,282,4,2,180.13,360.26,266.59
SO48049,2018-11-19,458,312,282,4,2,44.99,89.98,61.87
SO48049,2018-11-19,411,312,282,4,2,125.42,250.84,185.61
SO48049,2018-11-19,297,312,282,4,2,736.15,1472.30,1307.39
SO48049,2018-11-19,409,312,282,4,2,209.26,418.52,371.64
SO48049,2018-11-19,221,312,282,4,2,20.19,40.38,27.76
SO48049,2018-11-19,427,312,282,4,2,209.26,418.52,371.64
SO49132,2019-02-20,399,312,282,4,2,33.77,67.54,49.99
SO49132,2019-02-20,358,312,282,4,2,1229.46,2458.92,2211.62
SO49132,2019-02-20,354,312,282,4,2,1242.85,2485.70,2235.71
SO49132,2019-02-20,420,312,282,4,2,141.62,283.24,209.59
SO49132,2019-02-20,362,312,282,4,2,1229.46,2458.92,2211.62
SO49132,2019-02-20,421,312,282,4,2,196.33,392.66,290.57
SO50294,2019-05-25,356,312,282,4,2,1242.85,2485.70,2235.71
SO50294,2019-05-25,411,312,282,4,2,125.42,250.84,185.61
SO50294,2019-05-25,224,312,282,4,2,5.19,10.38,10.46
SO50294,2019-05-25,213,312,282,4,2,20.19,40.38,27.76
SO50294,2019-05-25,297,312,282,4,2,736.15,1472.30,1307.39
SO50294,2019-05-25,419,312,282,4,2,52.65,105.30,77.92
SO50294,2019-05-25,428,312,282,4,2,209.26,418.52,371.64
SO50294,2019-05-25,236,312,282,4,2,28.84,57.68,58.16
SO50294,2019-05-25,360,312,282,4,2,1229.46,2458.92,2211.62
SO50294,2019-05-25,366,312,282,4,2,647.99,1295.98,1196.87
SO50294,2019-05-25,401,312,282,4,2,65.60,131.20,97.09
SO50294,2019-05-25,421,312,282,4,2,196.33,392.66,290.57
SO50294,2019-05-25,448,312,282,4,2,11.99,23.98,16.49
SO50294,2019-05-25,308,312,282,4,2,744.27,1488.54,1321.83
SO50294,2019-05-25,233,312,282,4,2,28.84,57.68,58.16
SO50294,2019-05-25,399,312,282,4,2,33.77,67.54,49.99
SO51845,2019-08-27,591,312,282,4,2,338.99,677.98,616.44
SO51845,2019-08-27,525,312,282,4,2,158.43,316.86,289.19
SO51845,2019-08-27,588,312,282,4,2,461.69,923.38,839.56
SO51845,2019-08-27,363,312,282,4,2,1376.99,2753.98,2503.96
SO51845,2019-08-27,309,312,282,4,2,818.70,1637.40,1494.40
SO51845,2019-08-27,531,312,282,4,2,149.87,299.74,273.57
SO51845,2019-08-27,513,312,282,4,2,218.45,436.90,398.75
SO51845,2019-08-27,542,312,282,4,2,24.29,48.58,35.96
SO57144,2019-11-22,598,312,282,4,2,323.99,647.98,589.16
SO57144,2019-11-22,359,312,282,4,2,1376.99,2753.98,2503.96
SO57144,2019-11-22,361,312,282,4,2,1376.99,2753.98,2503.96
SO57144,2019-11-22,400,312,282,4,2,37.15,74.30,54.99
SO57144,2019-11-22,542,312,282,4,2,24.29,48.58,35.96
SO57144,2019-11-22,588,312,282,4,2,461.69,923.38,839.56
SO57144,2019-11-22,594,312,282,4,2,338.99,677.98,616.44
SO57144,2019-11-22,511,312,282,4,2,218.45,436.90,398.75
SO57144,2019-11-22,477,312,282,4,2,2.99,5.98,3.73
SO63283,2020-02-27,483,312,282,4,2,72.00,144.00,89.76
