agreement_id,agreement_type,agreement_start_date,agreement_end_date,TRF_NO
1,loan,11/01/2008,05/04/2021,75948
2,credit card,12/03/2015,8/19/2009,159635
3,mortgage,03/04/2003,11/12/2014,575856
4,mortgage,02/01/2004,6/21/2011,754106
5,mortgage,11/29/2000,10/20/2021,672012
6,credit card,3/13/2014,10/05/2009,654605
7,loan,4/17/2016,4/26/2011,711630
8,loan,10/16/2009,08/01/2011,922736
9,mortgage,8/27/2017,09/01/2015,553002
10,mortgage,1/29/2003,9/27/2001,243389
11,loan,5/27/2008,11/06/2013,183084
12,loan,08/03/2016,9/28/2010,119781
13,credit card,6/21/2017,8/20/2009,866445
14,loan,8/19/2018,11/13/2021,395204
15,loan,4/17/2021,07/09/2000,626391
16,loan,10/12/2021,2/23/2006,611101
17,credit card,2/29/2008,11/14/2008,361001
18,credit card,9/13/2007,1/20/2014,424572
19,mortgage,6/17/2001,8/13/2008,524706
20,loan,9/26/2017,3/21/2016,72259
21,credit card,1/18/2003,1/16/2017,528079
22,credit card,10/23/2020,5/18/2002,24056
23,mortgage,3/16/2011,08/01/2013,875344
24,credit card,09/01/2007,12/18/2021,816105
25,credit card,2/26/2015,5/27/2017,297667
26,loan,09/10/2009,01/03/2017,325160
27,mortgage,02/10/2003,12/01/2013,825148
28,loan,12/17/2003,12/25/2012,586913
29,mortgage,1/19/2020,12/14/2012,564180
30,credit card,08/10/2010,4/18/2020,494956
31,loan,6/16/2011,3/25/2021,112433
32,mortgage,09/02/2005,07/09/2007,496909
33,loan,4/22/2022,09/04/2017,736199
34,loan,07/10/2012,03/08/2017,640101
35,mortgage,4/16/2011,06/07/2017,319229
36,credit card,3/28/2001,6/18/2012,911535
37,credit card,10/22/2021,09/03/2002,435495
38,loan,12/31/2017,10/29/2014,598070
39,credit card,12/27/2011,7/15/2001,698380
40,loan,09/04/2001,7/17/2001,254239
41,credit card,11/09/2010,10/28/2005,557507
42,loan,05/03/2003,03/04/2002,88397
43,mortgage,11/04/2000,9/19/2018,322765
44,credit card,1/22/2010,08/12/2000,705050
45,credit card,05/05/2019,2/17/2014,421551
46,mortgage,5/26/2012,10/06/2013,544586
47,mortgage,10/07/2003,8/20/2009,79392
48,loan,2/25/2019,06/09/2000,484940
49,credit card,8/18/2003,5/28/2019,65643
50,credit card,11/08/2002,1/28/2000,134026
51,loan,03/01/2000,7/20/2002,817026
52,credit card,9/16/2021,8/15/2021,765608
53,loan,1/23/2020,04/03/2021,56368
54,credit card,02/08/2021,09/05/2002,438462
55,mortgage,8/29/2017,3/21/2016,384744
56,loan,2/21/2009,10/12/2012,745060
57,mortgage,6/18/2016,01/10/2015,238048
58,loan,6/28/2008,4/17/2022,699213
59,mortgage,6/24/2012,4/29/2019,512995
60,loan,4/25/2002,01/10/2019,116813
61,loan,07/12/2001,12/11/2019,639969
62,credit card,07/04/2012,10/31/2016,84476
63,credit card,6/24/2022,8/19/2013,977465
64,mortgage,5/27/2011,3/20/2011,389261
65,credit card,01/05/2004,09/03/2021,431249
66,credit card,12/19/2005,3/18/2011,554922
67,loan,11/24/2020,10/06/2004,88999
68,mortgage,8/19/2016,8/18/2012,801847
69,loan,10/18/2016,10/29/2006,813836
70,credit card,03/11/2020,8/26/2012,549744
71,credit card,1/18/2005,02/10/2000,547308
72,mortgage,4/17/2018,10/27/2004,500661
73,credit card,8/29/2007,7/24/2013,129490
74,loan,07/10/2006,07/03/2005,485675
75,loan,11/10/2018,5/13/2003,407879
76,mortgage,8/27/2016,5/26/2005,193438
77,loan,04/02/2011,10/24/2005,757697
78,credit card,12/14/2021,3/13/2006,16482
79,credit card,7/20/2007,3/15/2010,834387
80,credit card,11/15/2009,4/29/2020,86300
81,mortgage,10/16/2003,10/07/2019,934971
82,mortgage,10/14/2009,6/28/2002,719364
83,loan,7/17/2009,10/27/2019,112268
84,credit card,4/21/2017,09/08/2008,969727
85,loan,9/25/2013,2/25/2008,803146
86,mortgage,5/23/2000,5/20/2019,988771
87,mortgage,5/15/2018,1/18/2004,138842
88,credit card,11/18/2016,09/06/2003,118338
89,loan,5/26/2006,7/22/2014,241350
90,mortgage,03/04/2005,10/06/2004,374359
91,loan,5/27/2009,1/30/2008,946369
92,credit card,09/03/2007,11/22/2008,983244
93,mortgage,11/22/2001,06/06/2000,475760
94,loan,02/10/2006,7/16/2017,902928
95,loan,4/29/2006,05/11/2018,356947
96,loan,3/28/2020,11/11/2009,904808
97,mortgage,3/13/2011,3/27/2015,478590
98,credit card,7/13/2016,06/09/2020,124925
99,credit card,7/17/2001,04/04/2007,885984
100,mortgage,2/28/2013,06/02/2010,256107
101,credit card,03/01/2000,11/09/2017,905127
102,loan,09/01/2009,08/07/2010,351094
103,loan,05/04/2003,01/07/2008,868878
104,credit card,8/14/2003,11/16/2015,54170
105,credit card,4/26/2006,4/22/2014,412977
106,credit card,11/27/2013,05/01/2017,558044
107,credit card,3/16/2016,11/02/2005,176162
108,mortgage,04/03/2013,3/26/2004,26166
109,loan,10/31/2007,9/22/2017,648459
110,loan,3/22/2005,3/17/2014,319739
111,loan,5/20/2008,04/05/2001,887350
112,credit card,02/04/2018,6/28/2000,301610
113,loan,1/16/2013,04/06/2017,776651
114,credit card,4/30/2014,6/19/2017,260220
115,credit card,7/21/2005,04/08/2016,389206
116,loan,3/14/2008,09/01/2006,658730
117,credit card,12/15/2000,12/13/2007,917112
118,mortgage,1/29/2003,7/30/2014,859657
119,loan,08/08/2001,11/16/2021,75888
120,credit card,12/29/2013,1/27/2017,254004
121,mortgage,5/24/2007,06/10/2014,737184
122,credit card,5/13/2001,2/28/2013,905806
123,credit card,03/10/2022,9/25/2009,899069
124,credit card,11/14/2022,02/06/2020,803803
125,mortgage,2/17/2004,5/22/2003,391577
126,credit card,12/01/2019,6/27/2002,595737
127,mortgage,5/20/2014,07/11/2002,427780
128,credit card,04/04/2001,11/05/2015,716320
129,credit card,9/21/2017,11/09/2014,906305
130,mortgage,9/20/2022,5/25/2021,932152
